name,rookie_yr,birth_state
Buck Becannon,1885,NY
Cal Broughton,1885,WI
Joe Brown,1885,Canada
Dan Casey,1885,NY
Pete Conway,1885,PA
Doug Crothers,1885,MS
Andy Cusick,1885,
Con Daily,1885,MA
Ed Daily,1885,RI
Pat Dealy,1885,VT
Frank Foreman,1885,MD
Charlie Ganzel,1885,WI
Ed Greer,1885,PA
Tom Gunning,1885,NH
Egyptian Healy,1885,
Moxie Hengel,1885,
John Henry,1885,MA
Harry Jacoby,1885,PA
Ted Kennedy,1885,IL
John Kirby,1885,MO
Ed Knouff,1885,PA
Tom Lovett,1885,RI
Tom Lynch,1885,VT
Al Mays,1885,OH
Jim McTamany,1885,PA
Jerry Moore,1885,Canada
Al Myers,1885,IL
George Pechiney,1885,OH
Toad Ramsey,1885,IN
Sam Thompson,1885,IN
Guerdon Whiteley,1885,RI
Pete Wood,1885,Canada
Al Bauer,1886,OH
Steve Behel,1886,IL
Lou Bierbauer,1886,PA
Ernie Burch,1886,IL
Bob Clark,1886,KY
Dick Conway,1886,MA
Paul Cook,1886,NY
Amos Cross,1886,WI
Jumbo Davis,1886,NY
Harry Decker,1886,IL
Jim Donahue,1886,IL
Jocko Flynn,1886,RI
Frank Gilmore,1886,MA
Frank Graves,1886,OH
Jim Handiboe,1886,OH
Bill Hart,1886,KY
John Hofford,1886,PA
Nat Hudson,1886,IL
Matt Kilroy,1886,PA
Denny Lyons,1886,OH
Reddy Mack,1886,Ireland
Tony Madigan,1886,DC
Chippy McGarr,1886,MA
Jack McGeachey,1886,MA
Trick McSorley,1886,MO
John Meister,1886,PA
Joe Murphy,1886,PA
Dave Oldfield,1886,PA
Wilbert Robinson,1886,MA
Jimmy Ryan,1886,MA
Otto Schomberg,1886,WI
John Shaffer,1886,PA
Billy Smith,1886,MD
Mike Smith,1886,VA
Phenomenal Smith,1886,PA
Bill Stemmyer,1886,OH
Joe Strauss,1886,WI
Tom Sullivan,1886,NY
Steve Toole,1886,LA
Joe Werrick,1886,MN
Myron Allen,1887,NY
Tug Arundel,1887,NY
Mark Baldwin,1887,PA
Ed Beecher,1887,CT
Jack Boyle,1887,OH
William Brown,1887,CA
Scrappy Carroll,1887,NY
Hub Collins,1887,KY
Clarence Cross,1887,MO
Lave Cross,1887,WI
Billy Crowell,1887,OH
Tom Daly,1887,PA
Law Daniels,1887,MA
Dell Darling,1887,PA
Jocko Fields,1887,Ireland
Bill George,1887,OH
Bob Gilks,1887,OH
Mike Griffin,1887,NY
Henry Gruber,1887,CT
Mortimer Hogan,1887,
Silver King,1887,MO
Doc Leitner,1887,NY
Connie Mack,1887,MA
Kid Madden,1887,ME
Mike Mattimore,1887,PA
Al Maul,1887,PA
Ed McKean,1887,OH
Hank Morrison,1887,RI
Mike Morrison,1887,PA
Bob Pettit,1887,MA
Ed Seward,1887,OH
George Shoch,1887,PA
Lev Shreve,1887,KY
Marty Sullivan,1887,MA
Pop Tate,1887,VA
George Tebeau,1887,MO
Mike Tiernan,1887,NJ
Ledell Titcomb,1887,
Jim Toy,1887,PA
Tommy Tucker,1887,MA
Larry Twitchell,1887,OH
Gus Weyhing,1887,KY
Bobby Wheelock,1887,MA
Gus Alberts,1888,PA
Wally Andrews,1888,PA
Ed Beatin,1888,MD
Jake Beckley,1888,MO
George Borchers,1888,CA
Dick Buckley,1888,NY
Bill Burdick,1888,MN
Count Campau,1888,MI
Elmer Cleveland,1888,DC
Bert Cunningham,1888,DE
Ed Delahanty,1888,OH
Jim Devlin,1888,PA
Hugh Duffy,1888,RI
Henry Easterday,1888,PA
Red Ehret,1888,KY
John Ewing,1888,OH
Jay Faatz,1888,NY
Bill Fagan,1888,NY
Duke Farrell,1888,MA
Elmer Foster,1888,MN
Shorty Fuller,1888,OH
Kid Gleason,1888,NJ
Walt Goldsby,1888,MD
Mike Goodfellow,1888,NY
Gil Hatfield,1888,NJ
Joseph Herr,1888,
Frank Hoffman,1888,MS
Dummy Hoy,1888,OH
Mickey Hughes,1888,NY
Heinie Kappel,1888,PA
Ed Keas,1888,IA
George Keefe,1888,DC
Gus Krock,1888,WI
Harry Lyons,1888,PA
John McGlone,1888,NY
Pat Murphy,1888,MA
George Proeser,1888,OH
Irv Ray,1888,ME
